,instance,normalization_constant
0,20,1242548
1,107,62492205941
2,81,270121932
3,36,105455
4,67,16568544
5,109,1999570658
6,72,11530967
7,74,1144119717
8,113,2110114805
9,4,19095
10,45,160488533
11,60,123644501
12,7,1689764
13,119,2076274760
14,19,1380499
15,30,18928987
16,62,1058200835
17,12,16367
18,77,15595712
19,110,164579140277
20,35,13534871
21,71,16811752
22,79,1221073233
23,22,270711
24,38,20800727
25,56,2133176
26,1,15685
27,104,698033780
28,31,231191
29,86,268990926
30,80,1284728685
31,3,13628
32,108,2086802774
33,13,1609662
34,103,105597670793
35,90,19865121660
36,41,829718
37,117,1362578216
38,21,314183
39,16,1285745
40,101,1395175781
41,47,131674094
42,29,3608123
43,75,1029704594
44,61,12302405
45,85,248444317
46,23,19169279
47,6,19436
48,69,1293569720
49,11,14662
50,82,174039383
51,118,1348190
52,115,1471937
53,28,20507759
54,89,355917
55,40,20882107
56,93,259754377
57,49,158673086
58,88,15925582033
59,68,1283970882
60,48,156376250
61,105,1391163773
62,27,2479879
63,8,911987
64,99,19405404367
65,78,15322103
66,102,140642339732
67,17,2043920
68,14,1191728
69,57,1902146
70,120,158466451301
71,64,1067267100
72,106,2034914705
73,76,5814569
74,5,1341537
75,18,365771
76,97,274645956
77,53,2086970
78,43,746486
79,26,187719
80,42,2194784
81,114,94859461241
82,2,24892
83,34,18131463
84,70,1308220578
85,63,982629201
86,44,150059951
87,58,175133744
88,46,1771229
89,84,18398863745
90,15,1315544
91,116,1369097729
92,98,20382891990
93,87,269179427
94,51,2387309
95,52,2094671
96,96,262393391
97,111,82561718348
98,73,17115762
99,94,5415531321
100,37,16903535
101,33,4321043
102,112,2018370683 
103,65,1166187308
104,91,86185367
105,39,21220107
106,100,252402838
107,55,137345345
108,32,288495
109,59,144368606
110,25,17341167
111,83,177183158
112,66,5834971
113,10,1758756
114,54,14585
115,24,13965665
116,9,1076943
117,92,18525891833
118,95,17434517227
119,50,66936581
